ticker,company,sector,financial_year,revenue_cr,expenses_cr,operating_profit_cr,operating_margin_pct_reported,interest_cr,depreciation_cr,profit_before_tax_cr,tax_pct_reported,net_profit_cr,eps_rs,dividend_payout_pct,equity_capital_cr,reserves_cr,equity_cr,borrowings_cr,deposits_cr,other_liabilities_cr,total_liabilities_cr,fixed_assets_cr,cwip_cr,investments_cr,other_assets_cr,total_assets_cr,operating_cash_flow_cr,investing_cash_flow_cr,financing_cash_flow_cr,net_cash_flow_cr,free_cash_flow_cr
COALINDIA.NS,Coal India,Metals & Mining,2021,90026.0,71398.0,18628.0,21.0,642.0,3718.0,18009.0,29.0,12702.0,20.61,78.0,6163.0,30355.0,36518.0,5884.0,,118649.0,161051.0,42405.0,10490.0,5950.0,102206.0,161051.0,10592.0,182.0,-8453.0,2321.0,-260.0
COALINDIA.NS,Coal India,Metals & Mining,2022,109715.0,84995.0,24721.0,23.0,541.0,4429.0,23616.0,26.0,17378.0,28.17,60.0,6163.0,36980.0,43143.0,3514.0,,132780.0,179436.0,46677.0,12897.0,8921.0,110942.0,179436.0,41107.0,-25715.0,-13441.0,1951.0,29111.0
COALINDIA.NS,Coal India,Metals & Mining,2023,138252.0,94020.0,44232.0,32.0,684.0,6833.0,43275.0,27.0,31723.0,51.54,47.0,6163.0,54680.0,60843.0,4331.0,,156222.0,221396.0,64547.0,17622.0,7139.0,132087.0,221396.0,35734.0,-23465.0,-13704.0,-1436.0,20523.0
COALINDIA.NS,Coal India,Metals & Mining,2024,144762.0,96791.0,47971.0,33.0,819.0,6735.0,48813.0,23.0,37369.0,60.69,42.0,6163.0,76567.0,82730.0,6523.0,,147217.0,236470.0,75668.0,18960.0,7110.0,134731.0,236470.0,18103.0,-4486.0,-13899.0,-282.0,1353.0
COALINDIA.NS,Coal India,Metals & Mining,2025,143369.0,96305.0,47064.0,33.0,884.0,9145.0,46966.0,25.0,35302.0,57.37,46.0,6163.0,92942.0,99105.0,9146.0,,150735.0,258985.0,82865.0,22385.0,7591.0,146144.0,258985.0,29200.0,-10076.0,-13308.0,5815.0,15960.0
COALINDIA.NS,Coal India,Metals & Mining,2026,168400.0,127158.0,41242.0,24.0,1216.0,10137.0,41923.0,26.0,31071.0,50.46,53.0,6163.0,112939.0,119102.0,14072.0,,152487.0,285660.0,91846.0,15834.0,10226.0,167754.0,285660.0,43215.0,-33955.0,-11801.0,-2541.0,31191.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2015,3115.0,1942.0,1173.0,38.0,3.0,136.0,1072.0,21.0,852.0,32.07,31.0,27.0,3469.0,3496.0,27.0,,883.0,4405.0,1309.0,218.0,733.0,2145.0,4405.0,826.0,-521.0,-303.0,3.0,519.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2016,3776.0,2354.0,1423.0,38.0,5.0,118.0,1393.0,19.0,1126.0,42.41,24.0,53.0,4240.0,4293.0,42.0,,562.0,4898.0,1439.0,264.0,803.0,2392.0,4898.0,1038.0,-406.0,-631.0,0.0,642.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2017,4064.0,2615.0,1450.0,36.0,3.0,123.0,1395.0,24.0,1060.0,39.95,25.0,53.0,5304.0,5357.0,36.0,,762.0,6155.0,1559.0,444.0,1631.0,2521.0,6155.0,1150.0,-1140.0,2.0,13.0,774.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2018,3891.0,2622.0,1269.0,33.0,2.0,142.0,1231.0,29.0,877.0,33.04,30.0,53.0,5872.0,5925.0,63.0,,797.0,6785.0,1996.0,120.0,1889.0,2780.0,6785.0,776.0,-478.0,-314.0,-17.0,502.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2019,4946.0,3072.0,1874.0,38.0,5.0,169.0,1855.0,27.0,1353.0,50.96,31.0,53.0,6904.0,6957.0,106.0,,973.0,8036.0,2088.0,492.0,1946.0,3511.0,8036.0,954.0,-685.0,-246.0,23.0,221.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2020,5394.0,3568.0,1826.0,34.0,7.0,186.0,1819.0,24.0,1377.0,51.85,31.0,53.0,7257.0,7310.0,39.0,,1183.0,8531.0,2782.0,920.0,971.0,3858.0,8531.0,1216.0,-83.0,-1091.0,41.0,33.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2021,6969.0,4102.0,2867.0,41.0,2.0,256.0,2666.0,26.0,1984.0,74.75,27.0,53.0,9242.0,9295.0,5.0,,1471.0,10771.0,3704.0,711.0,0.0,6356.0,10771.0,1947.0,75.0,-35.0,1987.0,1037.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2022,8960.0,5075.0,3885.0,43.0,2.0,312.0,3684.0,20.0,2960.0,111.52,27.0,53.0,11675.0,11728.0,4.0,,1628.0,13360.0,4325.0,470.0,72.0,8493.0,13360.0,1912.0,-2195.0,-532.0,-816.0,1199.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2023,7768.0,5397.0,2370.0,31.0,2.0,343.0,2369.0,23.0,1823.0,68.69,44.0,53.0,12714.0,12767.0,3.0,,1654.0,14425.0,4723.0,212.0,77.0,9413.0,14425.0,2460.0,-2708.0,-797.0,-1045.0,1987.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2024,7845.0,5635.0,2210.0,28.0,4.0,378.0,2163.0,26.0,1600.0,60.27,50.0,53.0,13518.0,13571.0,3.0,,1886.0,15460.0,4739.0,778.0,82.0,9861.0,15460.0,1261.0,-269.0,-799.0,193.0,258.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2025,9360.0,6387.0,2973.0,32.0,3.0,402.0,2916.0,25.0,2191.0,82.53,36.0,53.0,14916.0,14969.0,4.0,,1948.0,16921.0,5442.0,1022.0,65.0,10392.0,16921.0,1653.0,-804.0,-799.0,50.0,215.0
DIVISLAB.NS,Divi's Laboratories,Pharmaceuticals,2026,10560.0,7119.0,3441.0,33.0,23.0,463.0,3388.0,24.0,2568.0,96.73,31.0,53.0,16708.0,16761.0,7.0,,3265.0,20033.0,6528.0,2113.0,69.0,11323.0,20033.0,2738.0,-2219.0,-804.0,-285.0,221.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2015,15023.0,11515.0,3508.0,23.0,108.0,760.0,2900.0,19.0,2336.0,27.43,15.0,85.0,9768.0,9853.0,4314.0,,4290.0,18457.0,5377.0,529.0,2248.0,10303.0,18457.0,2524.0,-2370.0,-433.0,-280.0,1009.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2016,15568.0,11983.0,3585.0,23.0,83.0,939.0,2859.0,26.0,2131.0,24.98,16.0,85.0,12484.0,12569.0,3352.0,,4408.0,20330.0,6563.0,772.0,3833.0,9162.0,20330.0,3263.0,-1610.0,-1700.0,-47.0,2065.0
DRREDDY.NS,Dr. Reddy's Laboratories,Pharmaceuticals,2017,14196.0,11724.0,2472.0,17.0,63.0,1027.0,1554.0,19.0,1292.0,15.59,26.0,83.0,12179.0,12262.0,4918.0,,4474.0,21654.0,6931.0,3324.0,2110.0,9290.0,21654.0,2144.0,-1890.0,-369.0,-114.0,926.0
